a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
XXXXX based on interval-valued XXXXX is first studied	['parameter estimation', 'belief structure']
an incremental XXXXX is studied , where the objective is to maximize the cumulative s-t-flow over a XXXXX	['network design problem', 'time horizon']
the XXXXX as well as the heuristics are compared in XXXXX on randomly generated instances	['computational experiments', 'mip formulations']
we develop an minlp model which determines the XXXXX of a mixed ac–dc building electrical XXXXX	['optimal design', 'distribution system']
the XXXXX with simultaneous pickup and delivery with XXXXX is presented and the literature is summarized	['vehicle routing problem', 'time limit']
a number of well-known XXXXX with XXXXX and no XXXXX are solved and the solutions are compared	['benchmark problems', 'time limit']
a number of well-known XXXXX with XXXXX and no XXXXX are solved and the solutions are compared	['benchmark problems', 'time limit']
a perturbation based variable neighborhood search heuristic proposed new best and XXXXX for XXXXX	['robust solutions', 'benchmark problem instances']
employing the XXXXX in XXXXX without taking into account that the distribution is mixed normal leads to a loss of 2–3 percent per year	['portfolio selection', 'mean-variance rule']
the XXXXX is determined from the variability of each indicator projected onto XXXXX	['principal components', 'preference structure']
nonlinear XXXXX are suitable for agricultural XXXXX	['policy analysis', 'mean-variance models']
a two-stage XXXXX with an order-up-to XXXXX is considered	['supply chain', 'inventory policy']
two new procedures using a multi-attribute XXXXX with incomplete XXXXX on weights related to performance measures	['utility function', 'preference information']
two new procedures using a multi-attribute XXXXX with incomplete preference information on weights related to XXXXX	['utility function', 'performance measures']
two new procedures using a multi-attribute utility function with incomplete XXXXX on weights related to XXXXX	['preference information', 'performance measures']
a XXXXX of risk propagation in a XXXXX is developed	['supply network', 'bayesian network model']
XXXXX demonstrates how the measures are used in a XXXXX setting	['simulation study', 'supply network']
we propose an XXXXX of a two-echelon recycled pulp XXXXX	['agent-based model', 'supply chain']
XXXXX for u-shaped XXXXX are investigated	['optimization models', 'assembly lines']
we test the benefits of XXXXX , optimizing the periodic review interval , versus XXXXX , changing to a continuous review policy	['parameter optimization', 'policy improvement']
XXXXX outperforms XXXXX in most instances tested	['parameter optimization', 'policy improvement']
XXXXX for solutions of multi objective XXXXX are proposed	['ranking methods', 'optimization problems']
we propose an XXXXX for the minimum common string XXXXX	['ilp model', 'partition problem']
semi-open jackson XXXXX for XXXXX	['network model', 'problem formulation']
XXXXX to find the XXXXX	['iterative algorithm', 'optimal threshold']
the modelization provides very good XXXXX especially for rank 2 XXXXX matrix	['lp relaxation', 'separation time']
XXXXX leads to a XXXXX based on constraint generation	['best approximation', 'heuristic method']
XXXXX leads to a heuristic method based on XXXXX	['best approximation', 'constraint generation']
best approximation leads to a XXXXX based on XXXXX	['heuristic method', 'constraint generation']
in context , XXXXX of several problems of XXXXX is analyzed	['computational complexity', 'simple games']
several XXXXX with XXXXX are presented sequentially over time	['multiple attributes', 'decision alternatives']
we extend the use of the combined stochastic dea–bayesian model to examine the XXXXX of XXXXX generated through the metafrontier	['statistical properties', 'efficiency scores']
first a XXXXX on the XXXXX is shown ; then an exponential-time online optimal algorithm for the problem is presented ; and lastly a polynomial-time online asymptotically optimal algorithm is presented	['lower bound', 'competitive ratio']
first a XXXXX on the competitive ratio is shown ; then an exponential-time online XXXXX for the problem is presented ; and lastly a polynomial-time online asymptotically XXXXX is presented	['lower bound', 'optimal algorithm']
first a lower bound on the XXXXX is shown ; then an exponential-time online XXXXX for the problem is presented ; and lastly a polynomial-time online asymptotically XXXXX is presented	['competitive ratio', 'optimal algorithm']
experimental results show that the polynomial-time XXXXX takes only a fraction of the XXXXX of the offline optimal algorithm , yet produces solutions of competitive quality to the offline optimal solutions	['online algorithm', 'running time']
we combine XXXXX and XXXXX approaches	['stochastic programming', 'stochastic optimal control']
we generate XXXXX with XXXXX and events of death	['scenario trees', 'asset returns']
the choice of the XXXXX at the customization point affects the total XXXXX	['service level', 'operating cost']
the choice of the XXXXX at the XXXXX affects the total operating cost	['service level', 'customization point']
the choice of the service level at the XXXXX affects the total XXXXX	['operating cost', 'customization point']
a non-constant XXXXX impacts the XXXXX	['service level', 'customization point']
focusing on determining the XXXXX with minimum total XXXXX in a dsm	['activity sequence', 'feedback time']
we solve two routing and XXXXX with split pickup and XXXXX	['scheduling problems', 'split delivery']
the discrete XXXXX provides quicker results but less XXXXX	['split model', 'solution quality']
we provide an XXXXX to minimize the total delay cost , yielding XXXXX in short time	['exact algorithm', 'exact solutions']
novel adaptation of efficient XXXXX to XXXXX	['global optimization', 'dynamic environments']
the sensitivity to different XXXXX and XXXXX is studied	['model parameters', 'cost parameters']
XXXXX on response and recovery planning phases of XXXXX	['literature survey', 'disaster management']
for the XXXXX with a buffer , an XXXXX is developed for solving it	['scheduling problem', 'optimal algorithm']
we derive XXXXX to solve the problems in XXXXX	['sufficient conditions', 'polynomial time']
two metaheuristics are proposed based on XXXXX and XXXXX	['neighborhood search', 'tree search']
we consider identical XXXXX to minimize XXXXX	['parallel machine scheduling', 'total tardiness']
XXXXX and a XXXXX solve small problems	['mathematical programming', 'branch-and-bound algorithm']
a XXXXX and a XXXXX are developed for larger problems	['tabu search', 'hybrid genetic algorithm']
XXXXX in XXXXX can lead to lower order rates	['information sharing', 'supply chains']
a capital XXXXX for XXXXX has been suggested	['coherent risk measures', 'allocation scheme']
focus on lagrangian decomposition , XXXXX , and XXXXX	['column generation', 'benders’ decomposition']
XXXXX increases not only sales but also XXXXX and default risk	['trade credit', 'opportunity cost']
XXXXX increases not only sales but also opportunity cost and XXXXX	['trade credit', 'default risk']
trade credit increases not only sales but also XXXXX and XXXXX	['opportunity cost', 'default risk']
we use XXXXX to XXXXX in prices and network capacity	['stochastic programming', 'model uncertainty']
we use XXXXX to model uncertainty in prices and XXXXX	['stochastic programming', 'network capacity']
we use stochastic programming to XXXXX in prices and XXXXX	['model uncertainty', 'network capacity']
XXXXX on the loss from delaying exercise of XXXXX are found	['upper bounds', 'american options']
we develop a novel XXXXX of XXXXX	['probabilistic model', 'audit quality']
we find that firms often adopt a XXXXX a XXXXX after its introduction	['new technology', 'time lag']
we study stochastic XXXXX , a class of stochastic XXXXX	['cooperative games', 'linear programming games']
for some certainty equivalents , a XXXXX can be computed in XXXXX	['polynomial time', 'core allocation']
approach a new pickup and XXXXX with lifo and XXXXX	['time constraints', 'delivery problem']
evaluate the performance of the proposed XXXXX through a comprehensive XXXXX	['computational study', 'solution methods']
we propose a new XXXXX model for XXXXX	['option pricing', 'random volatility']
an XXXXX is developed to solve the polynomial XXXXX	['efficient algorithm', 'optimization problem']
output XXXXX causes ex post XXXXX	['price uncertainty', 'profit loss']
XXXXX and technical inefficiency are the main sources of XXXXX	['risk preference', 'profit loss']
we also consider a XXXXX and provide XXXXX on the number of pmus	['theoretical model', 'lower bounds']
the algorithm can achieve the optimum in the XXXXX of the XXXXX	['theoretical model', 'power systems']
we developed an XXXXX that solves the XXXXX	['exact algorithm', 'feature selection problem']
considerable improvements in XXXXX and XXXXX over earlier methods	['running time', 'solution quality']
g-anp is specially useful for XXXXX with XXXXX	['big data', 'decision making problems']
it is applicable to the production of XXXXX in a XXXXX	['multiple products', 'job shop']
introduction of XXXXX extending the notion of XXXXX	['aggregation functions', 'fusion functions']
we provide a time window XXXXX in a vrp setting with XXXXX	['demand uncertainty', 'assignment model']
XXXXX show that using multiple XXXXX is better than one	['numerical experiments', 'demand scenarios']
they are applicable to any number of XXXXX and any XXXXX	['demand classes', 'demand distribution']
we consider sustainability issues on the joint XXXXX and XXXXX	['trade credit', 'inventory decisions']
XXXXX can improve consumer confidence and XXXXX	['traceability systems', 'supply chain profit']
we analyze the impact of XXXXX on XXXXX	['failure interaction', 'warranty cost']
we carry out a real XXXXX to illustrate the XXXXX proposed	['case study', 'multicriteria model']
we define an XXXXX for the bi-objective bi-dimensional XXXXX	['knapsack problem', 'upper bound set']
XXXXX is relevant to tactical multi-project XXXXX	['capacity planning', 'resource loading']
to study a book XXXXX through XXXXX	['supply chain', 'mathematical modeling']
the impact of XXXXX and different XXXXX is investigated	['load distribution', 'objective functions']
the scope of or practice has been extended via XXXXX ( soft or ) and XXXXX	['problem structuring methods', 'business analytics']
to address how to improve the XXXXX in a two-level decentralized XXXXX with random yield and uncertain demand	['service level', 'supply chain']
to address how to improve the XXXXX in a two-level decentralized supply chain with XXXXX and uncertain demand	['service level', 'random yield']
to address how to improve the XXXXX in a two-level decentralized supply chain with random yield and XXXXX	['service level', 'uncertain demand']
to address how to improve the service level in a two-level decentralized XXXXX with XXXXX and uncertain demand	['supply chain', 'random yield']
to address how to improve the service level in a two-level decentralized XXXXX with random yield and XXXXX	['supply chain', 'uncertain demand']
to address how to improve the service level in a two-level decentralized supply chain with XXXXX and XXXXX	['random yield', 'uncertain demand']
we provide the XXXXX of XXXXX for all the problems	['lower bounds', 'competitive ratio']
development of various XXXXX and XXXXX	['lower bounds', 'dominance rules']
a XXXXX is formulated to minimize the total XXXXX	['operating cost', 'dynamic programming model']
XXXXX and a XXXXX are developed	['branch-and-bound algorithm', 'milp formulations']
XXXXX is currently the best XXXXX	['branch-and-bound algorithm', 'exact method']
we develop a pseudo-polynomial XXXXX for concave XXXXX	['time algorithm', 'compression cost function']
we develop a XXXXX for convex XXXXX	['polynomial time algorithm', 'compression cost function']
we develop a new XXXXX for minmax regret XXXXX	['lower bound', 'combinatorial optimization problems']
our solution reduces two costs linked to this problem : XXXXX and handling XXXXX	['fuel consumption', 'operations costs']
the XXXXX can be found by a XXXXX	['dynamic programming algorithm', 'optimal routing strategy']
the XXXXX has a specific XXXXX	['optimal strategy', 'threshold structure']
XXXXX and the value of the marginal product of inputs are measured in one step using various XXXXX	['technical efficiency', 'model specifications']
we use a bootstrap dea technique to estimate the mean and 95 percent XXXXX of XXXXX and shadow prices	['confidence intervals', 'technical efficiency']
we use a bootstrap dea technique to estimate the mean and 95 percent XXXXX of technical efficiency and XXXXX	['confidence intervals', 'shadow prices']
we use a bootstrap dea technique to estimate the mean and 95 percent confidence intervals of XXXXX and XXXXX	['technical efficiency', 'shadow prices']
we show how to approximate the XXXXX via XXXXX	['efficient frontier', 'integer programming']
XXXXX to optimise biomass-based XXXXX	['mathematical model', 'supply chains']
an XXXXX with XXXXX where positive lead times are allowed	['inventory model', 'random yield']
an XXXXX with random yield where positive XXXXX are allowed	['inventory model', 'lead times']
an inventory model with XXXXX where positive XXXXX are allowed	['random yield', 'lead times']
we introduce an XXXXX of optimal value and XXXXX	['upper bound', 'heuristic algorithms']
we state new production axioms that account for XXXXX and formally derive XXXXX from them	['ratio data', 'dea models']
establish that expected loss in general stochastic XXXXX is non-increasing as XXXXX measured using entropy is reduced	['demand uncertainty', 'inventory problems']
classified by , e.g. , XXXXX , input data , objective , XXXXX	['model formulation', 'solution method']
we present mean-variance models for hybrid XXXXX and translate them into XXXXX	['portfolio optimization', 'convex quadratic programming']
we consider the XXXXX and give the XXXXX in the case with no more than two new securities	['analytical solutions', 'solution procedures']
empirical estimates indicate difference in the parameter coefficients of gamma stochastic XXXXX , and heterogeneity function variables between the pooled and the swamy–arora XXXXX	['production function', 'panel estimator']
consider the XXXXX with XXXXX , multi-factor volatility and jumps	['mean reversion', 'asset dynamics']
we derive XXXXX to various types of discrete XXXXX	['closed-form solutions', 'variance swaps']
the XXXXX with a small XXXXX rate prefers the pooling strategy	['service provider', 'demand loss']
the XXXXX with a small demand loss rate prefers the XXXXX	['service provider', 'pooling strategy']
the service provider with a small XXXXX rate prefers the XXXXX	['demand loss', 'pooling strategy']
we describe the search region in XXXXX by local XXXXX	['multi-objective optimization', 'upper bounds']
we describe the XXXXX in XXXXX by local upper bounds	['multi-objective optimization', 'search region']
we describe the XXXXX in multi-objective optimization by local XXXXX	['upper bounds', 'search region']
we reveal XXXXX of the optimal instalment payment , which is different from that under XXXXX	['structural properties', 'moral hazard']
we consider a XXXXX with a piecewise linear XXXXX	['transportation problem', 'cost structure']
we propose a XXXXX for stowage XXXXX of a container ship	['heuristic algorithm', 'planning problem']
we give a framework for XXXXX and dynamic XXXXX	['risk measures', 'stochastic optimization problems']
the XXXXX ( mopath ) is embedded in XXXXX	['fuzzy model', 'optimization framework']
approximation based on XXXXX provides good solutions and XXXXX	['network flows', 'lower bounds']
XXXXX , dynamic , XXXXX , heterogeneous fleet constraints are handled	['time windows', 'split delivery']
a XXXXX is also developed for larger instances which produces good XXXXX	['heuristic procedure', 'approximate solutions']
we propose a XXXXX that takes into account both cancellations and XXXXX behaviour	['revenue management model', 'customer choice']
we develop an XXXXX for scheduling chp units with XXXXX	['efficient algorithm', 'electric vehicles']
XXXXX for XXXXX with redials and reconnects ;	['queueing model', 'call centers']
we aim to maximise shareholder wealth while mitigating XXXXX of XXXXX in manufacturing	['environmental impact', 'carbon emission']
studies in joint configuration of XXXXX and XXXXX are reviewed	['supply chains', 'product families']
XXXXX for product families and XXXXX are formulated	['mathematical models', 'supply chains']
XXXXX for XXXXX and supply chains are formulated	['mathematical models', 'product families']
mathematical models for XXXXX and XXXXX are formulated	['supply chains', 'product families']
the socp approximations are used to obtain XXXXX at the top levels of a branch and XXXXX	['lower bounds', 'bound algorithm']
we propose a three-stage XXXXX e-nautilus for computationally expensive XXXXX	['interactive method', 'multiobjective optimization problems']
a set of pre-calculated XXXXX enables a solution process without XXXXX	['pareto optimal solutions', 'waiting times']
a set of pre-calculated XXXXX enables a XXXXX without waiting times	['pareto optimal solutions', 'solution process']
a set of pre-calculated pareto optimal solutions enables a XXXXX without XXXXX	['waiting times', 'solution process']
no new XXXXX is solved when the XXXXX interacts with the method	['optimization problem', 'decision maker']
first result to comprehensively determine the XXXXX under endogenous and exogenous XXXXX	['optimal policy', 'demand uncertainty']
a XXXXX of published XXXXX for managing supply chain risks	['systematic review', 'analytical models']
a XXXXX of published analytical models for managing XXXXX	['systematic review', 'supply chain risks']
a systematic review of published XXXXX for managing XXXXX	['analytical models', 'supply chain risks']
eight XXXXX for formal modeling of XXXXX	['research streams', 'supply chain risks']
we propose a strong XXXXX ( mip ) for the stand XXXXX	['mixed integer programming', 'allocation problem']
it is shown that XXXXX can solve efficiently the XXXXX	['greedy algorithms', 'view selection problem']
the XXXXX perturbs a solution using XXXXX	['simulated annealing', 'solution approach']
we present a XXXXX to solve resource-constrained XXXXX with flexible project structure	['genetic algorithm', 'scheduling problems']
we present a XXXXX to solve resource-constrained scheduling problems with flexible XXXXX	['genetic algorithm', 'project structure']
we present a genetic algorithm to solve resource-constrained XXXXX with flexible XXXXX	['scheduling problems', 'project structure']
XXXXX of the shape of the firm 's XXXXX is presented	['empirical assessment', 'cost function']
XXXXX are obtained under exponential XXXXX	['closed-form solutions', 'utility function']
we propose an approach for achieving XXXXX in XXXXX	['customer satisfaction', 'manufacturing firms']
a XXXXX was conducted in 24 XXXXX from 3 countries	['questionnaire survey', 'manufacturing firms']
the model is fitted to univariate inflow XXXXX by XXXXX	['time series', 'quantile regression']
the XXXXX is to transfer all data in given time at the XXXXX	['scheduling problem', 'minimum cost']
advance notice , XXXXX , XXXXX and correlation are considered	['lead times', 'random yield']
longer remanufacturing XXXXX could reduce XXXXX	['lead times', 'inventory variance']
optimizing the removal of a XXXXX has low impact on XXXXX	['base station', 'survival probability']
we study the effect of information updating in a XXXXX with XXXXX	['supply chain', 'spot market']
the new XXXXX also updates the belief on the XXXXX , and vice versa	['demand information', 'spot price']
giving a XXXXX for obtaining the XXXXX in fdh models	['polynomial-time algorithm', 'anchor points']
find the role of XXXXX and time horizon in the probability of adoption of XXXXX	['initial conditions', 'renewable energy']
find the role of XXXXX and XXXXX in the probability of adoption of renewable energy	['initial conditions', 'time horizon']
find the role of initial conditions and XXXXX in the probability of adoption of XXXXX	['renewable energy', 'time horizon']
trade resistance and XXXXX modeled as an undesirable XXXXX	['production process', 'trade barriers']
a new XXXXX is also suggested for two XXXXX	['calibration procedure', 'factor models']
we propose an XXXXX to optimize the lru XXXXX	['milp model', 'definition decision problem']
presenting XXXXX based on proven properties of the XXXXX	['optimal algorithms', 'cost function']
we tested the algorithm on XXXXX from the XXXXX	['uci repository', 'benchmark instances']
we compare XXXXX , XXXXX and deterministic approaches	['robust optimization', 'stochastic programming']
the XXXXX scales well with the size of the XXXXX	['power system', 'robust optimization approach']
models for the XXXXX of a district XXXXX were developed	['optimal design', 'cooling system']
XXXXX with XXXXX dependent cost function	['parallel machine scheduling', 'completion time']
XXXXX with completion time dependent XXXXX	['parallel machine scheduling', 'cost function']
parallel machine scheduling with XXXXX dependent XXXXX	['completion time', 'cost function']
XXXXX solved via novel XXXXX	['decomposition method', 'mixed integer programming model']
we develop a behavioral XXXXX for revenue sharing contracts incorporating XXXXX	['decision model', 'reference points']
we conduct three XXXXX to test our XXXXX	['laboratory experiments', 'behavioral model']
we model the problem with XXXXX and XXXXX	['mixed integer programming', 'constraint programming']
bfp has lower XXXXX and better XXXXX than lpe	['computational complexity', 'worst-case performance']
the multi-period XXXXX is extended by considering XXXXX goals	['vehicle routing problem', 'service consistency']
a 70 percent better XXXXX is achieved by increasing XXXXX by not more than 3.84 percent , on average	['travel time', 'arrival time consistency']
formulated a XXXXX of two XXXXX simultaneously	['decision problem', 'decision variables']
the impact on distance , XXXXX , and XXXXX are investigated	['fuel consumption', 'labor costs']
introduction of a multi-attribute XXXXX approach for XXXXX	['panel data', 'peer assessment']
the risk-neutral XXXXX exhibit non-zero XXXXX of variance risk	['diffusion limits', 'market prices']
the risk-neutral XXXXX exhibit non-zero market prices of XXXXX	['diffusion limits', 'variance risk']
the risk-neutral diffusion limits exhibit non-zero XXXXX of XXXXX	['market prices', 'variance risk']
the XXXXX covers 80 XXXXX , 518 threats , and 1244 safeguards	['knowledge base', 'system components']
we present the XXXXX with XXXXX	['vehicle routing problem', 'release dates']
we study XXXXX in an unknown , changing , XXXXX	['dynamic pricing', 'market environment']
XXXXX with quasi-arithmetic means and XXXXX	['aggregation operators', 'linguistic information']
we develop XXXXX ( with XXXXX o ( n2log ( n ) ) for both cases	['exact algorithms', 'time complexity']
the XXXXX indicator is decomposed into XXXXX ;	['industry inefficiency', 'sources components']
we present a new XXXXX with family setups and XXXXX	['resource constraints', 'single-machine scheduling problem']
we present a hybrid procedure combining two XXXXX for solving the XXXXX	['exact methods', 'pricing problem']
our method outperforms an existing branch-and-cut both in XXXXX and XXXXX	['cpu time', 'solution quality']
group model building is a XXXXX to XXXXX	['participatory approach', 'system dynamics']
XXXXX is a XXXXX to system dynamics	['participatory approach', 'group model building']
XXXXX is a participatory approach to XXXXX	['system dynamics', 'group model building']
use the XXXXX with shortages allowed under limited XXXXX	['eoq model', 'storage capacity']
the method used to calculate physical resource tightness is improved by setting a XXXXX of XXXXX	['critical value', 'resource availability']
the method used to calculate physical XXXXX is improved by setting a XXXXX of resource availability	['critical value', 'resource tightness']
the method used to calculate physical XXXXX is improved by setting a critical value of XXXXX	['resource availability', 'resource tightness']
an innovative application of XXXXX to analyse hiv XXXXX	['operations research', 'gene sequences']
XXXXX for XXXXX with 35 , 973 , 840 states were solved	['optimal control problems', 'production systems']
first bi/multi-objective model for the XXXXX routing and XXXXX	['home care', 'scheduling problem']
a XXXXX based on multi-directional XXXXX	['metaheuristic algorithm', 'local search']
XXXXX on new XXXXX based on real-life data	['numerical experiments', 'benchmark instances']
we present the first-ever XXXXX for the consistent XXXXX	['exact method', 'traveling salesman problem']
we propose novel XXXXX and associated XXXXX	['valid inequalities', 'separation techniques']
XXXXX behaviours are modelled using XXXXX	['markov models', 'treatment adherence']
we show minimal XXXXX and XXXXX do not lead to minimum costs	['safety stock', 'inventory variance']
we describe properties of the XXXXX function and compute valid lower and XXXXX	['upper bounds', 'service time']
we examine single-stage dea models with XXXXX that include a very small XXXXX on weights	['weight restrictions', 'lower bound']
we examine single-stage XXXXX with XXXXX that include a very small lower bound on weights	['weight restrictions', 'dea models']
we examine single-stage XXXXX with weight restrictions that include a very small XXXXX on weights	['lower bound', 'dea models']
green XXXXX programs have many dimensions and XXXXX to consider	['supplier development', 'big data sets']
directions for XXXXX on green XXXXX investment are presented	['future research', 'supplier development']
minimax regret and XXXXX are used to address XXXXX	['stochastic programming', 'demand uncertainty']
a XXXXX justifies the XXXXX provided by proposed model	['computational study', 'robust solution']
bgeva on woe method for XXXXX showed the best XXXXX	['missing data', 'predictive accuracy']
a XXXXX for the salesmen is defined by means of a cooperative game theory XXXXX , i.e . the ( least ) core	['cost allocation', 'solution concept']
we model and develop algorithms to reduce XXXXX over XXXXX	['large-scale networks', 'network size']
XXXXX generates more eco-friendly XXXXX under specific conditions	['supply chain coordination', 'social welfare']
we use XXXXX and XXXXX to solve the problem	['mixed integer programming', 'benders decomposition']
we study the XXXXX of our XXXXX in different setups	['computation time', 'decomposition algorithm']
decision makers’ XXXXX were taken into account in the XXXXX	['decision process', 'risk preferences']
accelerated XXXXX with XXXXX and pareto-optimal cuts	['benders decomposition', 'valid inequalities']
XXXXX for process mean , pricing , production and XXXXX	['integrated framework', 'market segmentation']
integrating XXXXX with XXXXX in a single framework	['loss function', 'posterior probability']
using optimized XXXXX and XXXXX	['monte carlo simulation', 'hybrid genetic algorithm']
in a great britain XXXXX , we find that a XXXXX increases generation adequacy	['case study', 'capacity market']
we develop XXXXX of XXXXX to implement ‘stsd’	['linear systems', 'optimality conditions']
organizations engage in routine XXXXX and XXXXX	['decision making', 'problem solving']
routine XXXXX and XXXXX have different implications for or	['decision making', 'problem solving']
our XXXXX based on the branch and price principle solve the multi-trip XXXXX with time windows	['exact methods', 'vehicle routing problem']
our XXXXX based on the branch and price principle solve the multi-trip vehicle routing problem with XXXXX	['exact methods', 'time windows']
our exact methods based on the branch and price principle solve the multi-trip XXXXX with XXXXX	['vehicle routing problem', 'time windows']
we identify a XXXXX using the XXXXX given by cplex	['pareto front', 'solution pool']
XXXXX with stochastic demands and XXXXX is investigated	['vehicle routing problem', 'time windows']
we show how hard XXXXX can be modeled as XXXXX	['control problems', 'integer programs']
we provide a general framework for searching XXXXX in XXXXX	['parameter space', 'monte carlo simulation']
XXXXX and lower and XXXXX are added to speed up the algorithm	['upper bounds', 'dominance rules']
the XXXXX outperforms a commercial XXXXX on small instances	['exact method', 'ilp solver']
study dynamic XXXXX with multiple XXXXX in continuous-time	['portfolio selection', 'risk measures']
method is tested using real XXXXX from a london XXXXX	['road network', 'traffic data']
including boosted trees , XXXXX , penalised linear/semi-parametric XXXXX	['random forests', 'logistic regression']
XXXXX suggest boosted XXXXX outperform penalised logistic regression	['statistical tests', 'regression trees']
XXXXX suggest boosted regression trees outperform penalised XXXXX	['statistical tests', 'logistic regression']
statistical tests suggest boosted XXXXX outperform penalised XXXXX	['regression trees', 'logistic regression']
we propose a XXXXX and a comprehensive set of new XXXXX	['tabu search', 'benchmark instances']
an automatic XXXXX as the engine of the dynamic adaptive XXXXX	['feedback mechanism', 'consensus model']
the XXXXX may be replaced by XXXXX	['standard deviation', 'coherent risk measures']
we propose the variable intermediate measures sbm model ( vsbm ) to evaluate the XXXXX of XXXXX	['system efficiency', 'two-stage processes']
XXXXX to approximate european XXXXX are proposed	['closed-form formulas', 'option prices']
a XXXXX is applied to XXXXX and u.s. government bond yields	['calibration procedure', 'option prices']
we use a XXXXX to update the XXXXX under repeated measurements	['bayesian approach', 'system state']
an embedded XXXXX which deals with XXXXX	['multiple objectives', 'local search procedure']
the XXXXX of XXXXX is improved	['upper bound', 'competitive ratio']
linear-fractional programming and primal-dual XXXXX are used to find the XXXXX of a central inequality	['upper bound', 'analysis methods']
smart and efficient XXXXX composed by auxiliary XXXXX	['neighborhood structures', 'data structures']
ten XXXXX consulting XXXXX	['system dynamics', 'case studies']
an inverse XXXXX finds a coherent risk measure for a given XXXXX	['optimal portfolio', 'portfolio problem']
an inverse portfolio problem finds a XXXXX measure for a given XXXXX	['optimal portfolio', 'coherent risk']
an inverse XXXXX finds a XXXXX measure for a given optimal portfolio	['portfolio problem', 'coherent risk']
necessary and XXXXX for the existence of such a XXXXX are obtained	['sufficient conditions', 'risk measure']
XXXXX ( fs ) is modelled as a ( mixed ) XXXXX	['feature selection', 'integer optimization problem']
the accumulation of biases can cause XXXXX in XXXXX	['path dependence', 'decision analysis']
the framework is XXXXX of XXXXX	['expected utility', 'profit maximization']
autocorrelation , XXXXX , and long order cycles can degrade XXXXX	['lead time', 'inventory performance']
two new XXXXX are employed to reduce the XXXXX	['search space', 'dominance rules']
we develop an improved XXXXX based on a XXXXX	['approximation algorithm', 'minimum spanning tree']
an XXXXX based on a XXXXX is presented for the problem	['exact algorithm', 'decomposition scheme']
a XXXXX based on a XXXXX is developed	['heuristic algorithm', 'mixed integer programming']
XXXXX disclosed the superiority of XXXXX	['experimental analysis', 'hybrid algorithms']
cohort XXXXX is applied for solving three XXXXX	['combinatorial problems', 'intelligence method']
we derive a new improved XXXXX of 2.618 for the XXXXX for the online strip packing	['lower bound', 'competitive ratio']
we derive a new improved XXXXX of 2.618 for the competitive ratio for the online XXXXX	['lower bound', 'strip packing']
we derive a new improved lower bound of 2.618 for the XXXXX for the online XXXXX	['competitive ratio', 'strip packing']
we develop a XXXXX based on stochastic dual XXXXX	['dynamic programming', 'solution approach']
simple XXXXX are summarized by the XXXXX	['decision rules', 'optimal strategy']
improvements in XXXXX and XXXXX over earlier approaches	['running time', 'solution quality']
decide the rescue team assignment scheme by solving the second XXXXX using the proposed XXXXX	['heuristic algorithm', 'stage model']
network design models augmented with XXXXX provide XXXXX	['valid inequalities', 'lower bounds']
XXXXX are reported on large XXXXX	['computational experiments', 'problem instances']
the XXXXX involves XXXXX in terms of pairwise comparisons	['interactive procedure', 'preference information']
the XXXXX involves preference information in terms of XXXXX	['interactive procedure', 'pairwise comparisons']
the interactive procedure involves XXXXX in terms of XXXXX	['preference information', 'pairwise comparisons']
generate XXXXX given region-specific characteristics via XXXXX	['robust solutions', 'decision analysis']
a functional ito’s XXXXX is adopted to evaluate XXXXX	['calculus approach', 'convex risk measures']
we develop a theory of XXXXX due to XXXXX	['risk aversion', 'resource dependency']
we show that XXXXX significantly impacts optimal XXXXX	['investment decisions', 'resource dependency']
uncertainty and XXXXX are XXXXX for resource dependency	['risk aversion', 'sufficient conditions']
uncertainty and XXXXX are sufficient conditions for XXXXX	['risk aversion', 'resource dependency']
uncertainty and risk aversion are XXXXX for XXXXX	['sufficient conditions', 'resource dependency']
we formulate and solve the pickup and XXXXX with XXXXX and multiple stacks	['time windows', 'delivery problem']
two branch-price-and-cut algorithms are implemented to solve the pickup and XXXXX with XXXXX and multiple stacks	['time windows', 'delivery problem']
new XXXXX and XXXXX are developed	['lower bounds', 'dominance rules']
a XXXXX is suggested to transform XXXXX into a linear one	['heuristic algorithm', 'nonlinear model']
we model a XXXXX with XXXXX from competitors	['competitive environment', 'incomplete data']
the assignment of decision objects to decision classes is based on the use of the XXXXX and XXXXX	['majority principle', 'veto effect']
the XXXXX and XXXXX notions are implemented through the concepts of concordance and discordance	['majority principle', 'veto effect']
coelli et al.’s ( 2007 ) environmental XXXXX does not reward XXXXX	['efficiency measure', 'pollution control']
a new environmental XXXXX that rewards XXXXX efforts is proposed	['efficiency measure', 'pollution control']
a XXXXX identifies cases solvable in XXXXX	['complexity analysis', 'polynomial time']
item rearrangements along XXXXX bring significant routing XXXXX	['vehicle routes', 'cost savings']
we examine a parallel machine scheduling problem with XXXXX and XXXXX	['setup times', 'time windows']
XXXXX ( ip ) and XXXXX ( cp ) models are proposed	['integer programming', 'constraint programming']
the XXXXX of the XXXXX is on https : //github.com/ctu-iig/nrrpgpu	['source code', 'parallel algorithm']
we present a XXXXX based XXXXX	['benders decomposition', 'solution method']
XXXXX when dual XXXXX outperforms single bundle price	['numerical analysis', 'pricing strategy']
using a XXXXX , our model can be solved with a standard XXXXX	['decomposition approach', 'ip solver']
this XXXXX shock models based on a new XXXXX of shocks	['counting process', 'paper studies']
